Name,Confirmed name,Section ref,Grid ref,Notes
Agapanthus,Agapanthus sp.,i,D3,
White birch,Betula sp.,i,D2,
Grevillea,Grevillea sp.,ii,N1,
Mock orange,Philadelphus coronarius,ii,O1,
Rose,Rosa sp.,ii,P1,
Indina hawthorn,Rhaphiolepis indica,ii,Q1,
Weigela florida,Weigela florida,ii,R1,
Camellia,Camellia sp.,ii,S1,
Chinese crab apple,Malus sp.,ii,W1,
Violet,Viola sp.,ii,AA2,
Mock orange,Philadelphus coronarius,iii,AB3,
Mock orange,Philadelphus coronarius,iii,AB6,
Mock orange,Philadelphus coronarius,iii,AB9,
Mock orange,Philadelphus coronarius,iii,AB10,
White cedar,Melia azedarach,iii,AB5,
Hydrangea,Hydrangea sp.,iii,AB7,
Sword fern,Nephrolepis sp.,iii,AB12,
Sword fern,Nephrolepis sp.,iii,AB14,
Star jasmine,Trachelospermum jasminoides,iv,Z13,
Mock orange,Philadelphus coronarius,iv,X13,
Camellia,Camellia sp.,iv,V13,
Sloe plum,Prunus sp.,iv,D9,
White birch,Betula sp.,v,D11,
White cedar,Melia azedarach,v,D13,
Azalea,Rhododendron sp.,v,D12,
Silver ponysfoot,Dichondra argentea,v,E14,
Rosemary,Salvia rosmarinus,vi,A23,
Pink confetti,Coleonema pulchellum,vi,A27,
Pink confetti,Coleonema pulchellum,vi,A33,
Pink confetti,Coleonema pulchellum,vi,A38,
Pink confetti,Coleonema pulchellum,vi,A43,
Japanese cherry,Prunus serrulata,vi,O47,
White cedar,Melia azedarach,vi,E44,
Liquidambar,Liquidambar styraciflua,vi,L45,
Koromiko,Veronica sp.,vii,F20,
Koromiko,Veronica sp.,vii,D20,
Orchid,Cymbidium sp.,vii,D21,Multiple. Type unknown
Japanese maple,Acer palmatum,vii,E22,
Rose,Rosa sp.,vii,D21,
Azalea,Rhododendron sp.,vii,F21,
Camellia,Camellia sp.,vii,E21,
Azalea,Rhododendron sp.,vii,F22,
Camellia,Camellia sp.,vii,F23,
Azalea,Rhododendron sp.,viii,F26,
Camellia,Camellia sp.,viii,E26,
Azalea,Rhododendron sp.,viii,D26,
Azalea,Rhododendron sp.,viii,D28,
Camellia,Camellia sp.,viii,E29,
Azalea,Rhododendron sp.,viii,D29,
Hydrangea,Hydrangea sp.,viii,D30,
Japanese maple,Acer palmatum,viii,E30,
Agapanthus,Agapanthus sp.,viii,C30,
Rose,Rosa sp.,viii,D31,
Japanese maple,Acer palmatum,viii,C33,
Rhododendron,Rhododendron sp.,viii,D30,
Cherry plum,Prunus cerasifera,viii,D38,
Plum,Prunus sp.,viii,D39,
Maple,Acer sp.,viii,D41,
Lavender,Lavandula sp.,viii,G39,
Lavender,Lavandula sp.,viii,K39,
Forget-me-not,Myosotis sp.,viii,C38,Multiple
Port wine magnolia,Michelia figo,viii,M40,
Meadowsweet,Spiraea sp.,viii,L38,
Azalea,Rhododendron sp.,viii,J36,
Azalea,Rhododendron sp.,viii,I45,
Azalea,Rhododendron sp.,viii,H44,
Violet,Viola sp.,ix,J33,Multiple
Bird of paradise,Strelitzia reginae,ix,N33,
Port wine magnolia,Michelia figo,ix,M44,
White birch,Betula sp.,ix,K33,
Rose,Rosa sp.,x,S38,
Elephant bush,Portulacaria afra,x,R38,
Snow-in-summer,Cerastium tomentosum,x,S39,
Weigela florida,Weigela florida,x,U39,
Rose,Rosa sp.,x,T39,
Climbing rose,Rosa sp.,x,T40,
Indian rhododendron,Melastoma malabathricum,x,U41,
Azalea,Rhododendron sp.,x,S39,
Azalea,Rhododendron sp.,x,T40,
Azalea,Rhododendron sp.,x,V42,
Azalea,Rhododendron sp.,x,AA41,
Meadowsweet,Spiraea sp.,x,W41,
Mock orange,Philadelphus coronarius,x,Z41,Multiple. Type unknown
Orchid,Cymbidium sp.,x,AA42,
Azalea,Rhododendron sp.,xi,R41,
Azalea,Rhododendron sp.,xi,S44,
Forget-me-not,Myosotis sp.,xi,R43,Multiple
Gardenia,Gardenia jasminoides,xi,R42,
Cherry yoshino,Prunus x yedoensis,xi,S43,
Acacia silver,Acacia podalyriifolia,xi,S44,
Magnolia,Magnolia acuminata,xii,AA43,
Agapanthus,Agapanthus sp.,xii,AB43,
Protea,Protea sp.,xii,Z44,
Dwarf banksia,Banksia spinulosa,xii,AA44,
Grevillea,Grevillea sp.,xii,Z44,
Grevillea,Grevillea sp.,xii,Y44,
Koromiko,Veronica sp.,xii,W45,
Crape mertyl,Lagerstroemia sp.,xii,AA45,
Orchid,Cymbidium sp.,xii,AB44,
Mock orange,Philadelphus coronarius,xii,AB45,
Jasmine abelia,Abelia x grandiflora,xiii,U46,
Lavender,Lavandula sp.,xiii,W46,Dead?
Pink confetti,Coleonema pulchellum,xiii,Z46,
